Topic 1,Topic 2,Co-occurrence Count
Kabbalah,Tikkunei Zohar,962.5
High Holidays,Teshuvah,955.0
Prayer,Women,954.0
Rabbi Shimon Bar Yochai,Vital Transformation,951.0
Prayer,Rosh Hashanah,949.5
Sin,Tshuva,940.0
Penimiut,Rabbi Yehuda Tzvi Brandwein,939.0
Rabbi Shimon Bar Yochai,Rabbi Yehuda Ashlag,936.0
Forgiveness,Yom Kippur,932.0
Community,Prayer,931.0
Community,Learning,927.0
Learning,Rabbi Yehuda Tzvi Brandwein,924.0
יחיד וחברה,צדק חברתי,916.0
Parashat Yitro,Sinai,915.0
Rambam,Repentance,915.0
Chesed,Kindness,913.0
Learning,Torah,908.0
Community,Education,905.0
Matzah,Pesach,905.0
Ecology,Nature,904.0
Commandments,Holidays,903.0
Commandments,God,902.0
Eretz Yisrael,Israel,894.0
Haman,Mordechai,891.0
Kabbalah,Mysticism,888.0
Parashah,d'Var Torah,885.5
Community,Tikkun Olam,884.0
Charity,Tzedakah,882.0
Rabbi Shimon Bar Yochai,Rabbi Yehuda Tzvi Brandwein,882.0
Creation,Parashat Bereishit,880.0
God,Mitzvot,880.0
Holidays,Mitzvot,877.5
God,Knowing God,875.0
Community,Love,873.0
Esther,Megillah,870.0
Matzah,Passover,868.0
Parashat Yitro,Revelation,868.0
Baal HaSulam,Kabbalah,861.0
Food,Kashrut,860.0
Chanukah,Hanukah,858.0
Korach,Machloket,858.0
Rosh Hashanah,Teshuvah,856.0
Prayer,Yom Kippur,855.0
Tshuva,Yom Kippur,850.5
Baal HaSulam,Zohar,847.0
יחיד וחברה,פרשת השבוע,844.5
RJPS,Tanakh,843.5
Social Justice,Tikkun Olam,840.0
Moses,Moshe,838.5
Spirituality,Tikkunei Zohar,836.5
Baal HaSulam,Spirituality,833.0
Prayer,Thanksgiving,828.0
Rabbi Eliyahu Jian,Tikkunei Zohar,828.0
Counting,Omer,825.0
D’var Torah,Parashah,825.0
Holidays,Yom Kippur,825.0
Esther,Haman,824.0
Kabbalah,קבלה,824.0
Law,Prayer,823.5
Justice,Obligation,816.0
Obligation,Women,815.0
Holidays,Joy,814.0
Tikkunei Zohar,Vital Transformation,810.0
Creation,Shabbat,808.0
אמונות ודעות,תרבות,808.0
New Year,Rosh Hashanah,804.0
Tanakh,Translation,803.0
אדם ומרחב,ארץ ישראל,802.0
Penimiut,Zohar,801.5
Devarim,Student Work,800.0
Devarim,Middle School,800.0
Hebrew,Translation,798.0
Rabbi Yehuda Ashlag,Tikkunei Zohar,798.0
Rashbi,Zohar,798.0
Rashbi,Spirituality,794.5
אדם ומרחב,יחיד וחברה,793.5
Blessings,Eating,792.0
Parashat Yitro,Shavuot,788.0
Kabbalah,Rashbi,787.5
Commandments,Tefilla,785.0
Prayer,Tefila,785.0
Assignment,Training Course,784.0
Rabbi Yehuda Tzvi Brandwein,Tikkunei Zohar,783.0
Exodus,Passover,780.0
Israel,Land,780.0
Jacob,Joseph,780.0
Abortion,Medical Ethics,776.0
Candles,Chanukah,775.0
Penimiut,Spirituality,773.5
Repentance,Rosh Hashanah,773.5
Education,Rabbi Shimon Bar Yochai,770.0
Bible,Hebrew,768.0
Environment,Trees,768.0
Gender,Transgender,764.0
God,Torah,764.0
Debate,Hillel,758.0
Community,Friendship,756.5
Education,Torah Study,752.0
Choice,Free Will,750.0
Mitzvot,Purim,750.0
יחיד וחברה,כבוד האדם,749.5
Drinking,Purim,749.0
Community,Machloket,748.0
Holidays,d'Var Torah,748.0
Community,Holidays,745.5
Nature,Tu B'Shvat,744.0
Elul,Repentance,742.0
2020,5781,740.0
Tanakh,Torah,740.0
Community,D’var Torah,739.5
Baal HaSulam,Rabbi Eliyahu Jian,738.0
Land,Shemitah,736.0
Holidays,Pesach,735.0
5781,Sermons,732.0
Prayer,Shema,732.0
אמונות ודעות,חיי אדם,729.5
Baal HaSulam,Vital Transformation,729.0
Biblical Hebrew,Hebrew,728.0
Darkness,Light,728.0
Egypt,Passover,728.0
Omer,Shavuot,726.0
High Holidays,Jonah,725.0
Maimonides,Tshuva,725.0
Rambam,Tshuva,725.0
Abraham,Parashat Lech Lecha,724.5
Hebrew,The Hebrew Language,724.0
Learning,Rabbi Shimon Bar Yochai,721.0
Baal HaSulam,Rabbi Yehuda Ashlag,720.0
Elul,Yom Kippur,720.0
Rabbi Shimon Bar Yochai,Tikkunei Zohar,720.0
Mitzvot,Tefilla,715.5
Hillel and Shammai,Korach,715.0
High Holidays,Tanakh,710.0
Mitzvot,Women,710.0
Bible,Peshat,705.0
Blessings,Thanksgiving,704.0
Commandments,Food,704.0
Elul,Rosh Hashanah,704.0
Midrash,Tanakh,704.0
Obligation,Prayer,704.0
Abraham,Parashat Vayera,703.5
Community,Israel,700.0
Maimonides,Repentance,700.0
Book of Ruth,Shavuot,698.5
Chanukah,Menorah,697.5
יחיד וחברה,תיקון עולם,696.5
Bible,Gender,696.0
Feminism,Women,696.0
Berachot,Blessings,695.0
Peshat,Translation,695.0
The Hebrew Language,Translation,695.0
Baal HaSulam,Rabbi Shimon Bar Yochai,693.0
Baal HaSulam,Tikkunei Zohar,693.0
Biblical Hebrew,Tanakh,693.0
Community,Society,693.0
Learning,Study,693.0
Parsha,Tanakh,693.0
2020,Sermons,692.0
Biblical Hebrew,Translation,690.0
Repentance,Teshuva,689.5
Prayer,Tanakh,688.5
Chametz,Pesach,687.5
Maharat,Talmud,686.0
Rambam,Sin,686.0
RJPS,Translation,685.0
Rabbi Shimon Bar Yochai,Rashbi,684.0
Rabbi Eliyahu Jian,Rashbi,681.0
Rabbi Yehuda Ashlag,Rashbi,681.0
Rashbi,Tikkunei Zohar,681.0
Creation,Tanakh,680.0
Lulav,Sukkot,680.0
NJPS,Translation,680.0
Education,Study,679.0
Rashbi,Vital Transformation,678.0
Holidays,Purim,676.5
Bible,The Hebrew Language,675.0
Community,Disagreement,675.0
Baal HaSulam,Rabbi Yehuda Tzvi Brandwein,672.0
Baal HaSulam,Penimiut,672.0
Chametz,Passover,672.0
Commandments,Eating,671.0
Chassidut,God,670.0
אמונות ודעות,העם היהודי,668.0
