Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
Yoma 3b:2,Rashi on Yoma 3b:2:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 3b:3,Chidushei Agadot on Yoma 3b:2,commentary,Yoma,Chidushei Agadot on Yoma,Talmud,Other
Yoma 3b:3,Rashi on Yoma 3b:3:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 3b:3,Deuteronomy 10:1,,Yoma,Deuteronomy,Talmud,Tanakh
Yoma 3b:3,Exodus 25:10,,Yoma,Exodus,Talmud,Tanakh
Yoma 3b:4,Rashi on Yoma 3b:4:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 3b:4,Exodus 30:34,,Yoma,Exodus,Talmud,Tanakh
Yoma 3b:4,Numbers 10:2,,Yoma,Numbers,Talmud,Tanakh
Yoma 3b:4,Leviticus 9:3,,Yoma,Leviticus,Talmud,Tanakh
Yoma 3b:4,Leviticus 9:2,,Yoma,Leviticus,Talmud,Tanakh
Yoma 3b:5,Rashi on Yoma 3b:5:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 3b:5,Leviticus 16:3,,Yoma,Leviticus,Talmud,Tanakh
Yoma 3b:5,Leviticus 16:5,,Yoma,Leviticus,Talmud,Tanakh
Yoma 3b:6,Rashi on Yoma 3b:6:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 3b:6,Tosafot on Yoma 3b:6:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 3b:7,Rashi on Yoma 3b:7:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 3b:8,Rashi on Yoma 3b:8:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 3b:8,Rashi on Yoma 3b:8:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 3b:8,Ritva on Yoma 3b:2,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 3b:8,Ritva on Yoma 3b:3,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 3b:9,Rashi on Yoma 3b:9:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:1,Rashi on Yoma 40a:1:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:10,Rashi on Yoma 40a:10:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:10,Rashi on Yoma 40a:10:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:11,Rashi on Yoma 40a:11:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:11,Ritva on Yoma 40a:8,commentary,Yoma,Ritva on Yoma,Talmud,Other
